ID,lastName,firstName,email,phone,department,position,team
1,Rosario,Susana,srosar9@netmail.org,773-788-1033,3,16,140
2,Cunningham,Mitchell,mcunni11@netmail.org,773-702-8540,9,12,157
3,Marshall,Eddy,emarsh1@netmail.org,773-934-8371,10,1,45
4,Hunter,Barton,bhunte1@netmail.org,312-879-9428,5,12,131
5,Buckley,Carl,cbuckl4@netmail.org,773-835-7760,10,17,145
6,Allen,Alejandro,aallen4@netmail.org,773-820-1289,8,3,105
7,Summers,Bette,bsumme11@netmail.org,773-839-4457,8,2,10
8,Stokes,Victoria,vstoke2@netmail.org,312-879-8530,8,11,69
9,Howe,Agnes,ahowe2@netmail.org,773-825-3008,5,2,46
10,Floyd,Huey,hfloyd10@netmail.org,312-789-4587,6,3,152
11,Stevenson,Susan,ssteve8@netmail.org,630-685-7329,11,12,6
12,Hicks,Lynda,lhicks6@netmail.org,312-895-3552,8,11,52
13,Santana,Leona,lsanta6@netmail.org,630-572-1361,11,3,88
14,Campos,Erma,ecampo2@netmail.org,312-660-1993,9,1,28
15,Matthews,Henrietta,hmatth9@netmail.org,773-618-2443,11,3,143
16,Caldwell,Debra,dcaldw6@netmail.org,630-643-8930,11,11,161
17,Downs,Ingrid,idowns12@netmail.org,773-943-2880,8,12,47
18,Walker,Morgan,mwalke3@netmail.org,312-813-9727,3,1,122
19,Cook,Augusta,acook7@netmail.org,773-953-9153,3,18,142
20,Ware,Dane,dware8@netmail.org,312-660-1437,11,13,19
21,Austin,Milton,mausti3@netmail.org,773-744-3006,5,11,162
22,Singh,Josh,jsingh1@netmail.org,773-722-1171,10,11,115
23,Ballard,Jerrod,jballa12@netmail.org,312-848-9035,3,18,124
24,Ross,Dylan,dross9@netmail.org,630-651-2813,11,1,92
25,Rios,Ann,arios7@netmail.org,312-824-4501,11,13,81
26,Kirk,Lyle,lkirk6@netmail.org,773-645-2680,7,1,30
27,Swanson,Guy,gswans1@netmail.org,773-920-5682,9,11,158
28,Cardenas,Candice,ccarde12@netmail.org,312-703-2224,5,2,102
29,Hebert,Laurence,lheber4@netmail.org,630-712-7496,6,1,114
30,Cross,Catalina,ccross6@netmail.org,773-943-8711,1,1,17
31,Salazar,Katie,ksalaz4@netmail.org,312-935-7228,8,14,156
32,Arias,Sherwood,sarias9@netmail.org,630-939-7295,4,3,1
33,Rosales,Oscar,orosal3@netmail.org,312-805-2968,6,1,116
34,Jenkins,Elton,ejenki11@netmail.org,312-846-6778,7,13,139
35,Frazier,Lynnette,lfrazi9@netmail.org,773-849-6562,2,14,114
36,Bishop,Antoinette,abisho5@netmail.org,312-808-3315,4,14,131
37,Odonnell,Twila,todonn7@netmail.org,312-634-5694,8,13,116
38,Choi,Chuck,cchoi9@netmail.org,630-599-7534,9,2,33
39,Weeks,Wm,wweeks4@netmail.org,630-578-8953,4,7,163
40,Burton,Morton,mburto4@netmail.org,630-897-1035,10,5,148
41,Todd,Debora,dtodd10@netmail.org,773-846-7350,3,1,46
42,Sampson,Moshe,msamps4@netmail.org,630-845-8169,11,11,48
43,Waters,Terrie,twater9@netmail.org,312-885-4416,3,10,139
44,Pratt,Althea,apratt2@netmail.org,773-797-9222,2,13,136
45,Newton,Pete,pnewto9@netmail.org,312-642-3179,2,1,125
46,Beasley,Rosemary,rbeasl10@netmail.org,312-955-6292,6,6,141
47,Mullins,Jody,jmulli10@netmail.org,312-737-4967,10,1,126
48,Dalton,Javier,jdalto4@netmail.org,312-953-8813,10,7,119
49,Sherman,Lamont,lsherm11@netmail.org,312-573-9848,8,1,96
50,Haynes,Jana,jhayne7@netmail.org,773-841-8276,1,13,36
51,Bonilla,Drew,dbonil12@netmail.org,312-917-3162,9,2,98
52,Freeman,Darrell,dfreem2@netmail.org,773-786-3932,7,14,21
53,Adkins,Isabel,iadkin6@netmail.org,773-736-6109,11,2,62
54,Benjamin,Brian,bbenja12@netmail.org,773-575-3394,10,14,84
55,McCann,Frank,fmccan1@netmail.org,312-722-5281,3,2,50
56,Warner,Noreen,nwarne1@netmail.org,312-645-3841,10,13,48
57,Davidson,Vance,vdavid5@netmail.org,773-838-8247,1,10,161
58,Villanueva,William,wvilla10@netmail.org,312-917-7115,4,2,154
59,Walls,Willard,wwalls6@netmail.org,630-691-2440,8,5,19
60,Bautista,Tristan,tbauti7@netmail.org,630-923-2500,1,3,106
61,Cooke,Mariano,mcooke10@netmail.org,773-568-7015,5,1,104
62,Rivera,Ashlee,ariver7@netmail.org,312-722-7293,11,13,132
63,Morgan,Donn,dmorga9@netmail.org,312-802-2636,3,1,63
64,Hays,Viola,vhays10@netmail.org,312-748-8206,1,14,7
65,Tate,Jarrett,jtate7@netmail.org,312-918-8421,11,3,149
66,Small,Leo,lsmall4@netmail.org,773-634-2886,9,3,75
67,McFarland,Emilia,emcfar3@netmail.org,773-651-7451,3,14,30
68,Blackwell,Heather,hblack8@netmail.org,773-739-5581,1,18,79
69,Foley,Arden,afoley9@netmail.org,630-617-7120,9,2,52
70,Gibson,Claude,cgibso12@netmail.org,630-792-7428,10,13,19
71,Lucero,Erick,elucer3@netmail.org,312-764-7586,8,13,32
72,Mendoza,Justin,jmendo8@netmail.org,312-580-7809,10,12,92
73,Dyer,Jayne,jdyer4@netmail.org,312-680-9240,1,13,4
74,Mendez,Loyd,lmende3@netmail.org,312-790-4738,10,1,94
75,Reid,Marquita,mreid7@netmail.org,773-582-3910,2,12,17
76,Hurley,Dusty,dhurle1@netmail.org,773-660-8387,6,14,86
77,Marsh,April,amarsh5@netmail.org,773-821-9286,3,6,113
78,Rush,Glenn,grush9@netmail.org,312-774-1555,9,10,17
79,Robles,Elmer,eroble7@netmail.org,773-577-4094,4,11,28
80,Villegas,Val,vville5@netmail.org,773-766-7871,7,12,52
81,Cox,Mona,mcox6@netmail.org,312-637-3318,11,1,163
82,Marquez,Angel,amarqu3@netmail.org,312-871-7603,9,16,148
83,Bruce,Samantha,sbruce7@netmail.org,773-734-8310,11,11,89
84,Fields,Albert,afield7@netmail.org,312-589-8608,11,3,53
85,Collins,Jacklyn,jcolli7@netmail.org,312-860-2007,2,1,99
86,Fitzpatrick,Cassandra,cfitzp12@netmail.org,773-607-8344,6,12,19
87,Pacheco,Darryl,dpache2@netmail.org,312-905-2318,7,12,96
88,Lam,Linwood,llam10@netmail.org,773-891-6632,11,1,150
89,Benson,Von,vbenso11@netmail.org,773-621-7224,10,5,31
90,Roach,Merlin,mroach3@netmail.org,773-584-1546,1,9,72
91,Armstrong,Alfonzo,aarmst4@netmail.org,312-579-6832,11,14,43
92,Estrada,Julia,jestra10@netmail.org,773-764-5366,3,2,35
93,Alexander,Orlando,oalexa1@netmail.org,312-778-2423,7,6,48
94,Erickson,Camille,cerick10@netmail.org,312-788-4169,6,12,34
95,Stephens,Fredric,fsteph12@netmail.org,630-581-4175,11,12,63
96,Ramsey,Sherry,sramse6@netmail.org,773-776-6135,9,14,16
97,Michael,Darrel,dmicha10@netmail.org,773-570-8444,11,1,87
98,Rivas,Patricia,privas1@netmail.org,630-599-8264,8,2,148
99,McCullough,Judith,jmccul12@netmail.org,630-732-7512,4,11,89
100,Leblanc,Ronald,rlebla12@netmail.org,630-633-2927,4,12,60
101,Jacobs,Stefanie,sjacob7@netmail.org,312-752-5677,4,1,78
102,Farmer,Brooke,bfarme1@netmail.org,773-747-9918,8,13,10
103,Melton,Hipolito,hmelto7@netmail.org,630-940-3832,11,3,28
104,Bender,Judy,jbende3@netmail.org,630-575-4061,3,13,128
105,Kelly,Roxanne,rkelly2@netmail.org,312-720-5565,9,3,160
106,Walsh,Marcos,mwalsh7@netmail.org,312-689-2870,8,12,2
107,Valenzuela,Jeromy,jvalen8@netmail.org,312-577-2412,9,4,104
108,Church,Miriam,mchurc4@netmail.org,312-948-8664,4,10,13
109,Barrett,Felicia,fbarre2@netmail.org,773-829-1112,10,2,152
110,Phillips,Elbert,ephill10@netmail.org,773-883-6756,9,8,3
111,Sutton,Natalie,nsutto5@netmail.org,312-575-2717,3,13,40
112,Ryan,Nicholas,nryan1@netmail.org,312-834-6643,4,6,144
113,Hansen,Evelyn,ehanse11@netmail.org,312-812-6509,3,14,42
114,Bolton,Bennett,bbolto11@netmail.org,773-861-5681,9,12,42
115,Hanna,Lenny,lhanna6@netmail.org,773-896-6218,3,13,83
116,Anthony,Martina,mantho10@netmail.org,312-830-9190,10,2,84
117,Best,Maude,mbest2@netmail.org,312-925-2009,3,13,38
118,Ford,Ana,aford11@netmail.org,312-737-7107,2,1,64
119,Coleman,Tanya,tcolem1@netmail.org,312-809-5762,3,1,34
120,Alvarado,Isaias,ialvar3@netmail.org,773-818-8151,1,3,9
121,Jackson,Mae,mjacks7@netmail.org,773-643-9678,9,1,71
122,Bean,Romeo,rbean2@netmail.org,312-689-2240,11,1,150
123,Paul,Major,mpaul8@netmail.org,773-713-1811,3,2,132
124,Hogan,Evan,ehogan9@netmail.org,312-638-8012,6,17,67
125,Davenport,Lenard,ldaven7@netmail.org,312-964-3663,7,14,20
126,Montoya,Shelby,smonto8@netmail.org,312-949-9491,4,12,100
127,Huang,Gerard,ghuang4@netmail.org,312-906-2604,4,6,91
128,Cooley,Kris,kcoole6@netmail.org,312-778-3854,10,1,136
129,Dennis,Marc,mdenni3@netmail.org,773-725-4387,7,11,157
130,Byrd,Tessa,tbyrd2@netmail.org,312-906-2229,2,13,93
131,Campbell,Tina,tcampb5@netmail.org,312-595-2423,10,3,94
132,Rocha,Sonny,srocha12@netmail.org,630-601-4485,5,11,130
133,Miranda,Noemi,nmiran5@netmail.org,630-765-4596,10,2,23
134,Saunders,Gustavo,gsaund6@netmail.org,312-835-9541,10,11,85
135,Stout,Earl,estout7@netmail.org,630-821-5456,9,3,10
136,Kerr,Elma,ekerr12@netmail.org,312-706-3723,11,11,45
137,Glenn,Sam,sglenn6@netmail.org,773-734-4860,3,11,118
138,Houston,Harrison,hhoust1@netmail.org,773-833-2455,2,12,76
139,Hendricks,Josue,jhendr9@netmail.org,312-570-2789,7,2,21
140,Page,Francesca,fpage9@netmail.org,312-784-2616,9,6,162
141,Joyce,Juana,jjoyce3@netmail.org,773-566-8655,11,17,64
142,Travis,Anibal,atravi12@netmail.org,630-676-1175,4,1,66
143,Arnold,Irene,iarnol10@netmail.org,630-884-1596,5,18,81
144,Golden,Jill,jgolde1@netmail.org,773-809-3963,8,1,135
145,Tapia,Karyn,ktapia1@netmail.org,312-578-5011,4,1,93
146,Barton,Ophelia,obarto1@netmail.org,312-885-4200,3,1,41
147,Payne,Doug,dpayne3@netmail.org,773-595-9963,3,3,125
148,Bullock,Krista,kbullo8@netmail.org,312-807-6941,11,3,37
